sku,fullName,url,activo,categoria,subcategoria,precio_actual,precio_referencia,stock_actual,tipo_receta,laboratorio,marca,presentacion,composicion,principio_activo,principio_activo_id
125947,Arthrozeel x 50 Comprimidos,https://www.farmaloop.cl/products/arthrozeel-x-50-comprimidos-125947/,true,Suplementos y Vitaminas,Suplementos,18590,21090,1,Presentación receta médica,PRODUCTOS FARMACEUTICOS HEEL CHILE LIMITADA,,Comprimido,antiartritico homeopatico, Antiartrítico Homeopático,6df07320-c371-4028-95a7-25fee335091a
140315,Bioxantin x 60 Cápsulas Blandas,https://www.farmaloop.cl/products/bioxantin-x-60-capsulas-blandas-140315/,true,Suplementos y Vitaminas,Suplementos,16990,18990,12,Venta directa (Sin receta),NUTRAPHARM,,Capsula,astaxantina | alfatocoferol (vitamina e), Astaxantina; Alfatocoferol (Vitamina E),e374d373-1306-4966-95da-853fe9a95e00
140555,Potasio Citrato 500 mg x 30 Cápsulas,https://www.farmaloop.cl/products/potasio-citrato-500-mg-x-30-capsulas-140555/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),PRONAT LABS CHILE,,Cápsula,potasio citrato 500 mg, Potasio Citrato,cde71554-53dc-435b-956e-b9c483c98d47
140098,Multivitaminas + Biotina X 20 Tabletas Efervescentes (German Energy),https://www.farmaloop.cl/products/multivitaminas-biotina-x-20-tabletas-efervescentes-german-energy-140098/,true,Suplementos y Vitaminas,Vitaminas y Minerales,3190,3990,8,Venta directa (Sin receta),SOC MEDICA IMPORTADORA Y COMERCIALIZADORA BIOPLUS SPA,,Tableta,retinol (vitamina a) | cianocobalamina (vitamina b12) | acido ascorbico (vitamina c) | acido pantotenico (vitamina b5) | calciferol (vitamina d) | biotina (vitamina b8) | alfatocoferol (vitamina e) | niacina (vitamina b3) | tiamina (vitamina b1) | piridoxina (vitamina b6) | riboflavina (vitamina b2) | acido folico (vitamina b9)," Retinol (Vitamina A),Cianocobalamina (Vitamina B12),Acido Ascorbico (Vitamina C),Acido Pantotenico (Vitamina B5),Calciferol (Vitamina D),Biotina (Vitamina B8),Alfatocoferol (Vitamina E),Niacina (Vitamina B3),Tiamina (Vitamina B1),Piridoxina (Vitamina B6),Riboflavina (Vitamina B2),Acido Folico (Vitamina B9)",7bbabe0c-3b97-4f34-b5ac-149463717647
140567,Cranberry Springlife x 30 Comprimidos,https://www.farmaloop.cl/products/cranberry-springlife-x-30-comprimidos-140567/,true,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),SOCOFAR S.A.,,Comprimido,, Segun Rotulado,b7465506-b9cf-4ba2-8795-664883c7fdb4
110880,Mintavit-C 500 mg x 30 Comprimidos,https://www.farmaloop.cl/products/mintavitc-500-mg-x-30-comprimidos-110880/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),MEDICAL INTERNATIONAL LABORATORIES CORPORATION S.A.,,Comprimido,acido ascorbico (vitamina c),Ac.Ascorbico (Vitamina C),acf5a112-8e10-489c-bca1-5c5b7c10f76d
61939,Vitamina C 1000 mg x 20 Comprimidos Efervescentes,https://www.farmaloop.cl/products/vitamina-c-1000-mg-x-20-comprimidos-efervescentes-61939/,false,Suplementos y Vitaminas,Vitaminas,,,0,Venta directa (Sin receta),SOC MEDICA IMPORTADORA Y COMERCIALIZADORA BIOPLUS SPA,,Comprimido,acido ascorbico (vitamina c),Ac.Ascorbico (Vitamina C),acf5a112-8e10-489c-bca1-5c5b7c10f76d
126410,Mi Vit-C 100 mg Frutos Rojos x 100 Comprimidos,https://www.farmaloop.cl/products/mi-vitc-100-mg-frutos-rojos-x-100-comprimidos-126410/,true,Suplementos y Vitaminas,Vitaminas y Minerales,1000,2000,0,Venta directa (Sin receta),EUROFARMA CHILE S.A.,,Comprimido,acido ascorbico (vitamina c),Ac.Ascorbico (Vitamina C),acf5a112-8e10-489c-bca1-5c5b7c10f76d
138761,Cebion 1000 mg x 10 Comprimidos Efervescentes,https://www.farmaloop.cl/products/cebion-1000-mg-x-10-comprimidos-efervescentes-138761/,true,Suplementos y Vitaminas,Vitaminas y Minerales,4890,7190,20,Venta directa (Sin receta),MERCK S.A.,CEBION,Comprimido,acido ascorbico (vitamina c) 1 g,Ac.Ascorbico (Vitamina C),acf5a112-8e10-489c-bca1-5c5b7c10f76d
97886,Vitamina C 100 mg x 100 Comprimidos,https://www.farmaloop.cl/products/vitamina-c-100-mg-x-100-comprimidos-97886/,false,Suplementos y Vitaminas,Vitaminas,,,0,Venta directa (Sin receta),LABORATORIO VALMA LIMITADA,,Comprimido,acido ascorbico (vitamina c),Ac.Ascorbico (Vitamina C),acf5a112-8e10-489c-bca1-5c5b7c10f76d
