SKU;Producto;Categoria;Problemas
150584;"Acido Valproico 200 mg x 30 Comprimidos (Cenabast)";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto | Indicación genérica: "Bienestar emocional y salud mental""
150175;"Ácido Valproico 200mg 30 Comprimidos";Salud Mental;"mojibake: +ü → Á | Principio activo es igual al nombre del producto"
150020;"Ácido Valproico 250 mg 20 Comprimidos Recubiertos";Salud Mental;"mojibake: +ü → Á | Principio activo es igual al nombre del producto"
106793;"Actan 20 mg x 60 Cápsulas";Salud Mental;"mojibake: +í → á"
106792;"Actan Fluoxetina 20 mg 30 cápsulas";Salud Mental;"mojibake: +í → á"
91297;"Alivax 75mg x 30 Capsulas";Salud Mental;"Principio activo es igual al nombre del producto | Indicación genérica: "trastornos de salud mental""
91074;"Alprazolam 0,5 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
110457;"Alprazolam 0,5mg 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
140827;"Alprazolam 0,5mg x 30 Comprimidos (CENABAST)";Salud Mental;"Principio activo es igual al nombre del producto"
120264;"Altruline Sertralina 100mg 30 Comprimidos Recubierto";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
53638;"Amato Comprimidos 25 mg x 60";Salud Mental;"Falta campo en bullets: Laboratorio"
90972;"Amitriptilina Clorhidrato 25 mg x 100 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
99078;"Amitriptilina Clorhidrato 25mg 24 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
151135;"Anfebutamona Clorhidrato 150 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Laboratorio vacío o "No especificado""
